0,1,2
0.8429999999999999,-0.041,-0.417
0.8019999999999998,0.05600000000000001,-0.404
0.791,0.003,-0.43
0.832,-0.034,-0.45
0.78,-0.008,-0.442
0.8169999999999998,-0.05500000000000001,-0.44800000000000006
0.8,-0.031,-0.4
0.771,-0.012,-0.394
0.7929999999999998,0.039,-0.438
0.8269999999999998,-0.028000000000000004,-0.401
0.771,0.019,-0.423
0.771,-0.005,-0.42699999999999994
0.769,-0.058,-0.405
0.8339999999999999,-0.006,-0.439
0.7889999999999998,0.012,-0.429
0.776,-0.041,-0.439
0.788,-0.017,-0.426
0.77,-0.038,-0.388
0.8019999999999998,0.024,-0.44000000000000006
0.774,-0.044,-0.434
0.767,-0.007000000000000001,-0.402
0.8029999999999998,0.046,-0.41
0.759,-0.001,-0.416
0.784,0.006,-0.449
0.808,-0.032,-0.415
0.78,-0.012,-0.438
0.8279999999999998,-0.02,-0.433
0.8329999999999999,-0.022,-0.418
0.772,-0.027000000000000003,-0.433
0.8,-0.061,-0.416
0.756,-0.032,-0.389
0.824,-0.053000000000000005,-0.381
0.8179999999999998,-0.028000000000000004,-0.419
0.79,0.006,-0.424
0.8029999999999998,-0.012,-0.422
0.8269999999999998,0.003,-0.428
0.7769999999999998,0.011,-0.42
0.78,-0.029,-0.422
0.8,-0.04,-0.411
0.805,-0.01,-0.408
0.769,0.0,-0.42
0.7849999999999998,-0.066,-0.428
0.8089999999999998,-0.023,-0.421
0.773,0.006,-0.449
0.7809999999999998,0.007000000000000001,-0.439
0.8419999999999999,-0.026,-0.44400000000000006
0.796,-0.005,-0.42
0.787,-0.042,-0.419
0.796,-0.012,-0.424
0.8029999999999998,-0.038,-0.424
0.7849999999999998,-0.052,-0.424
0.76,0.032,-0.421
0.775,-0.03,-0.44000000000000006
0.8029999999999998,-0.001,-0.429
0.8189999999999998,-0.05500000000000001,-0.44000000000000006
0.761,0.006,-0.423
0.767,-0.019,-0.426
0.76,-0.032,-0.429
0.8019999999999998,-0.019,-0.42
0.775,-0.025,-0.412
0.743,-0.026,-0.428
0.8039999999999998,-0.028000000000000004,-0.412
0.774,-0.002,-0.424
0.7769999999999998,-0.007000000000000001,-0.419
0.815,-0.039,-0.425
0.772,-0.038,-0.43099999999999994
0.767,-0.005,-0.43
0.754,0.031,-0.419
0.769,-0.047,-0.398
0.787,-0.008999999999999998,-0.441
0.8019999999999998,-0.007000000000000001,-0.426
0.8089999999999998,-0.044,-0.417
0.77,-0.038,-0.402
0.799,-0.019,-0.443
0.815,0.027000000000000003,-0.412
0.788,-0.023,-0.41
0.775,-0.027000000000000003,-0.415
0.782,-0.019,-0.417
0.799,-0.062,-0.424
0.8269999999999998,-0.032,-0.417
0.8119999999999998,-0.01,-0.422
0.8039999999999998,-0.031,-0.42
0.813,0.007000000000000001,-0.449
0.7929999999999998,-0.025,-0.399
0.782,0.014000000000000002,-0.423
0.78,-0.023,-0.4
0.806,0.027000000000000003,-0.442
0.795,-0.011,-0.44400000000000006
0.787,-0.016,-0.435
0.752,-0.022,-0.443
0.796,-0.037,-0.403
0.824,-0.025,-0.409
0.783,0.005,-0.423
0.813,-0.015,-0.41
0.8019999999999998,0.016,-0.409
0.813,-0.013,-0.468
0.757,-0.078,-0.42
0.769,-0.04,-0.411
0.8089999999999998,-0.024,-0.413
0.8189999999999998,-0.033,-0.395
0.794,0.006,-0.4
0.8259999999999998,-0.027000000000000003,-0.426
0.783,-0.047,-0.426
0.764,0.011,-0.451
0.798,-0.016,-0.4320000000000001
0.8259999999999998,0.006,-0.472
0.776,-0.035,-0.43600000000000005
0.783,-0.014000000000000002,-0.433
-0.877,-0.002,-0.172
-0.922,0.006,-0.206
-0.861,0.005,-0.203
-0.893,0.012,-0.194
-0.84,-0.014000000000000002,-0.175
-0.8640000000000002,0.003,-0.178
-0.887,-0.005,-0.246
-0.8519999999999999,-0.007000000000000001,-0.2
-0.878,-0.013,-0.176
-0.853,0.02,-0.206
-0.875,-0.029,-0.204
-0.8519999999999999,0.015,-0.178
-0.9,0.008,-0.187
-0.919,0.014000000000000002,-0.223
-0.8949999999999998,0.0,-0.191
-0.883,-0.021,-0.187
-0.907,-0.021,-0.195
-0.885,-0.007000000000000001,-0.175
-0.881,0.023,-0.205
-0.8630000000000002,0.008,-0.211
-0.886,-0.003,-0.183
-0.858,0.05600000000000001,-0.199
-0.904,-0.031,-0.207
-0.8499999999999999,0.001,-0.197
-0.876,0.001,-0.212
-0.913,0.007000000000000001,-0.19
-0.875,0.031,-0.2
-0.889,-0.005,-0.209
-0.882,-0.012,-0.16499999999999998
-0.889,-0.026,-0.223
-0.8630000000000002,0.033,-0.23
-0.866,0.037,-0.16599999999999998
-0.8880000000000001,-0.016,-0.226
-0.882,-0.049,-0.182
-0.885,-0.003,-0.186
-0.868,-0.023,-0.187
-0.8800000000000001,-0.05500000000000001,-0.161
-0.8939999999999998,0.005,-0.197
-0.868,-0.022,-0.194
-0.8939999999999998,0.001,-0.16599999999999998
-0.86,-0.004,-0.187
-0.857,0.001,-0.19
-0.899,0.022,-0.185
-0.8539999999999999,0.05500000000000001,-0.184
-0.861,-0.04,-0.199
-0.8800000000000001,0.024,-0.187
-0.881,0.05,-0.22
-0.898,-0.041,-0.187
-0.8720000000000001,0.025,-0.16399999999999995
-0.884,-0.004,-0.161
